word,svg,emoji
Cantaloupe,assets\generated\cantaloupe.svg,🍈
Capsicum,assets\generated\capsicum.svg,🫑
Car,assets\generated\car.svg,🚗
Carnival,assets\generated\carnival.svg,🎪
Carpenter,assets\generated\carpenter.svg,🪚
Carrot,assets\generated\carrot.svg,🥕
Cashier,assets\generated\cashier.svg,🧾
Cat,assets\generated\cat.svg,🐈
Cauliflower,assets\generated\cauliflower.svg,⚪
Chapati,assets\generated\chapati.svg,🫓
Cheek,assets\generated\cheek.svg,😊
Cheese,assets\generated\cheese.svg,🧀
Chef,assets\generated\chef.svg,👨‍🍳
Cherry,assets\generated\cherry.svg,🍒
Chest,assets\generated\chest.svg,🫁
Chicken,assets\generated\chicken.svg,🐔
Chin,assets\generated\chin.svg,🙂
Christianity,assets\generated\christianity.svg,✝️
Christmas,assets\generated\christmas.svg,🎄
Circle,assets\generated\circle.svg,⚪
Cloud,assets\generated\cloud.svg,☁️
Coconut,assets\generated\coconut.svg,🥥
Cone,assets\generated\cone.svg,🔺
Cookie,assets\generated\cookie.svg,🍪
Corn,assets\generated\corn.svg,🌽
Cousin,assets\generated\cousin.svg,🧑
Cow,assets\generated\cow.svg,🐄
Crab,assets\generated\crab.svg,🦀
Crimson,assets\generated\crimson.svg,🔴
Crow,assets\generated\crow.svg,🐦‍⬛
Cube,assets\generated\cube.svg,🧊
Cucumber,assets\generated\cucumber.svg,🥒
Curry,assets\generated\curry.svg,🍛
Cyan,assets\generated\cyan.svg,🩵
Dad,assets\generated\dad.svg,👨
Dairy Shop,assets\generated\dairy-shop.svg,🥛
Dal,assets\generated\dal.svg,🟨
Date,assets\generated\date.svg,🌴
Daughter,assets\generated\daughter.svg,👧
Deer,assets\generated\deer.svg,🦌
Dentist,assets\generated\dentist.svg,🦷
Desert,assets\generated\desert.svg,🏜️
Designer,assets\generated\designer.svg,🖌️
Diamond,assets\generated\diamond.svg,🔷
Diwali,assets\generated\diwali.svg,🪔
Doctor,assets\generated\doctor.svg,🩺
Dog,assets\generated\dog.svg,🐕
Dolphin,assets\generated\dolphin.svg,🐬
Donut,assets\generated\donut.svg,🍩
Dosa,assets\generated\dosa.svg,🟤
Dove,assets\generated\dove.svg,🕊️
Down,assets\generated\down.svg,⬇️
Dragon Fruit,assets\generated\dragon-fruit.svg,🐉
Driver,assets\generated\driver.svg,🚕
Duck,assets\generated\duck.svg,🦆
Dumper Truck,assets\generated\dumper-truck.svg,🚛
Dussehra,assets\generated\dussehra.svg,🏹
Eagle,assets\generated\eagle.svg,🦅
Ear,assets\generated\ear.svg,👂
Earth,assets\generated\earth.svg,🌍
East,assets\generated\east.svg,🧭
Easter,assets\generated\easter.svg,🐣
Eggplant,assets\generated\eggplant.svg,🍆
Eid,assets\generated\eid.svg,🌙
Elbow,assets\generated\elbow.svg,💪
Elderberry,assets\generated\elderberry.svg,⚫
Electrician,assets\generated\electrician.svg,💡
Elephant,assets\generated\elephant.svg,🐘
Engineer,assets\generated\engineer.svg,⚙️
Eye,assets\generated\eye.svg,👁️
Eyebrow,assets\generated\eyebrow.svg,🤨
Factory,assets\generated\factory.svg,🏭
Family,assets\generated\family.svg,👨‍👩‍👧‍👦
Farm,assets\generated\farm.svg,🚜
Farmer,assets\generated\farmer.svg,🧑‍🌾
Father,assets\generated\father.svg,👨
Ferry,assets\generated\ferry.svg,⛴️
Fig,assets\generated\fig.svg,🟤
Finger,assets\generated\finger.svg,👆
Fire Truck,assets\generated\fire-truck.svg,🚒
Firefighter,assets\generated\firefighter.svg,🧑‍🚒
Fish,assets\generated\fish.svg,🐟
Flamingo,assets\generated\flamingo.svg,🦩
Flower,assets\generated\flower.svg,🌸
Fog,assets\generated\fog.svg,🌫️
Foot,assets\generated\foot.svg,🦶
Forehead,assets\generated\forehead.svg,🧑
Forest,assets\generated\forest.svg,🌲
Forward,assets\generated\forward.svg,➡️
Fox,assets\generated\fox.svg,🦊
French Fries,assets\generated\french-fries.svg,🍟
Frog,assets\generated\frog.svg,🐸
Front,assets\generated\front.svg,👉
Fruit Salad,assets\generated\fruit-salad.svg,🍇
Ganesh Chaturthi,assets\generated\ganesh-chaturthi.svg,🐘
Garage,assets\generated\garage.svg,🚗
Gardener,assets\generated\gardener.svg,🧑‍🌾
Garlic,assets\generated\garlic.svg,🧄
Ginger,assets\generated\ginger.svg,🫚
Giraffe,assets\generated\giraffe.svg,🦒
Goat,assets\generated\goat.svg,🐐
Gold,assets\generated\gold.svg,🟡
Goose,assets\generated\goose.svg,🪿
Gorilla,assets\generated\gorilla.svg,🦍
Grandfather,assets\generated\grandfather.svg,👴
Grandmother,assets\generated\grandmother.svg,👵
Grandson,assets\generated\grandson.svg,🧒
Grape,assets\generated\grape.svg,🍇
Grass,assets\generated\grass.svg,🌱
Gray,assets\generated\gray.svg,⚪
Green,assets\generated\green.svg,🟢
Green Beans,assets\generated\green-beans.svg,🟢
Grilled Cheese,assets\generated\grilled-cheese.svg,🟡
Grocery Store,assets\generated\grocery-store.svg,🛒
Guava,assets\generated\guava.svg,🟢
Hairdresser,assets\generated\hairdresser.svg,💇
Halloween,assets\generated\halloween.svg,🎃
Hand,assets\generated\hand.svg,✋
Hanukkah,assets\generated\hanukkah.svg,🕎
Hardware Store,assets\generated\hardware-store.svg,🔨
Head,assets\generated\head.svg,🗣️
Heart,assets\generated\heart.svg,❤️
Hedgehog,assets\generated\hedgehog.svg,🦔
Helicopter,assets\generated\helicopter.svg,🚁
Hexagon,assets\generated\hexagon.svg,🔶
Hill,assets\generated\hill.svg,⛰️
Hinduism,assets\generated\hinduism.svg,🕉️
Hip,assets\generated\hip.svg,🕺
Hippo,assets\generated\hippo.svg,🦛
Holi,assets\generated\holi.svg,🎨
Honey,assets\generated\honey.svg,🍯
Honeydew Melon,assets\generated\honeydew-melon.svg,🟡
Horse,assets\generated\horse.svg,🐎
Hummus,assets\generated\hummus.svg,🧆
Husband,assets\generated\husband.svg,🤵
Ice,assets\generated\ice.svg,🧊
Ice Cream,assets\generated\ice-cream.svg,🍦
Idli,assets\generated\idli.svg,🍙
Iguana,assets\generated\iguana.svg,🦎
In,assets\generated\in.svg,➡️
Indian Gooseberry,assets\generated\indian-gooseberry.svg,🫒
Indigo,assets\generated\indigo.svg,🟣
Inside,assets\generated\inside.svg,📦
Islam,assets\generated\islam.svg,☪️
Ivory,assets\generated\ivory.svg,⚪
Jackfruit,assets\generated\jackfruit.svg,🟨
Jaguar,assets\generated\jaguar.svg,🐆
Jainism,assets\generated\jainism.svg,☸️
Jam,assets\generated\jam.svg,🍓
Jamun,assets\generated\jamun.svg,🟣
Jeep,assets\generated\jeep.svg,🚙
Jellyfish,assets\generated\jellyfish.svg,🪼
Jet,assets\generated\jet.svg,🛩️
Jewelry Store,assets\generated\jewelry-store.svg,💍
Journalist,assets\generated\journalist.svg,📰
Judaism,assets\generated\judaism.svg,✡️
Judge,assets\generated\judge.svg,⚖️
Juice,assets\generated\juice.svg,🧃
Jungle,assets\generated\jungle.svg,🌴
Kale,assets\generated\kale.svg,🌿
Kangaroo,assets\generated\kangaroo.svg,🦘
Karva Chauth,assets\generated\karva-chauth.svg,🌙
Kayak,assets\generated\kayak.svg,🚣
Ketchup,assets\generated\ketchup.svg,🍅
Khichdi,assets\generated\khichdi.svg,🟧
Kiwi,assets\generated\kiwi.svg,🥝
Knee,assets\generated\knee.svg,🦵
Knuckle,assets\generated\knuckle.svg,✊
Koala,assets\generated\koala.svg,🐨
Ladybug,assets\generated\ladybug.svg,🐞
Lake,assets\generated\lake.svg,🏞️
Lasagna,assets\generated\lasagna.svg,🍱
Laundry,assets\generated\laundry.svg,🧺
Lavender,assets\generated\lavender.svg,💜
Lawyer,assets\generated\lawyer.svg,👩‍⚖️
Leaf,assets\generated\leaf.svg,🍁
Leek,assets\generated\leek.svg,🌱
Left,assets\generated\left.svg,⬅️
Leg,assets\generated\leg.svg,🦵
Lemon,assets\generated\lemon.svg,🍋
Lentil Soup,assets\generated\lentil-soup.svg,🟠
Leopard,assets\generated\leopard.svg,🐆
Lettuce,assets\generated\lettuce.svg,🍃
Librarian,assets\generated\librarian.svg,📚
Lime,assets\generated\lime.svg,🍏
Lion,assets\generated\lion.svg,🦁
Lip,assets\generated\lip.svg,👄
Lychee,assets\generated\lychee.svg,🔴
Magenta,assets\generated\magenta.svg,🟣
Mall,assets\generated\mall.svg,🏬
Mango,assets\generated\mango.svg,🥭
Mangosteen,assets\generated\mangosteen.svg,🟪
Market,assets\generated\market.svg,🏪
Maroon,assets\generated\maroon.svg,🟤
Mechanic,assets\generated\mechanic.svg,🔧
Milk,assets\generated\milk.svg,🥛
Mom,assets\generated\mom.svg,🤱
Momos,assets\generated\momos.svg,🥟
Monkey,assets\generated\monkey.svg,🐒
Moon,assets\generated\moon.svg,🌙
Moose,assets\generated\moose.svg,🫎
Mother,assets\generated\mother.svg,👩
Motorcycle,assets\generated\motorcycle.svg,🏍️
Mountain,assets\generated\mountain.svg,⛰️
Mouse,assets\generated\mouse.svg,🐁
Mouth,assets\generated\mouth.svg,👄
Mud,assets\generated\mud.svg,🟤
Muffin,assets\generated\muffin.svg,🧁
Mulberry,assets\generated\mulberry.svg,🟫
Mushroom,assets\generated\mushroom.svg,🍄
Musician,assets\generated\musician.svg,🎵
Naan,assets\generated\naan.svg,🟫
Nail,assets\generated\nail.svg,💅
Narwhal,assets\generated\narwhal.svg,🐳
Navratri,assets\generated\navratri.svg,💃
Navy,assets\generated\navy.svg,🔵
Neck,assets\generated\neck.svg,🦒
Nectarine,assets\generated\nectarine.svg,🧡
Nephew,assets\generated\nephew.svg,👦
Nest,assets\generated\nest.svg,🪺
New Year,assets\generated\new-year.svg,🎆
Niece,assets\generated\niece.svg,👧
Noodles,assets\generated\noodles.svg,🍜
North,assets\generated\north.svg,⬆️
Nose,assets\generated\nose.svg,👃
Nurse,assets\generated\nurse.svg,👩‍⚕️
Oatmeal,assets\generated\oatmeal.svg,🥣
Ocean,assets\generated\ocean.svg,🌊
Octopus,assets\generated\octopus.svg,🐙
Officer,assets\generated\officer.svg,👮
Okra,assets\generated\okra.svg,🫒
Olive,assets\generated\olive.svg,🫒
On,assets\generated\on.svg,🔛
Onam,assets\generated\onam.svg,🛶
Onion,assets\generated\onion.svg,🧅
Orange,assets\generated\orange.svg,🟠
Orangutan,assets\generated\orangutan.svg,🦧
Ostrich,assets\generated\ostrich.svg,🦤
Outside,assets\generated\outside.svg,🏞️
Oval,assets\generated\oval.svg,🥚
Over,assets\generated\over.svg,⬆️
Owl,assets\generated\owl.svg,🦉
Painter,assets\generated\painter.svg,🎨
Pancake,assets\generated\pancake.svg,🥞
Panda,assets\generated\panda.svg,🐼
Paneer,assets\generated\paneer.svg,⬜
Papaya,assets\generated\papaya.svg,🟧
Parent,assets\generated\parent.svg,👪
Parrot,assets\generated\parrot.svg,🦜
Pasta,assets\generated\pasta.svg,🍝
Peach,assets\generated\peach.svg,🍑
Peacock,assets\generated\peacock.svg,🦚
Pear,assets\generated\pear.svg,🍐
Peas,assets\generated\peas.svg,🫛
Penguin,assets\generated\penguin.svg,🐧
Pentagon,assets\generated\pentagon.svg,🔷
Pharmacy,assets\generated\pharmacy.svg,💊
Photographer,assets\generated\photographer.svg,📷
Pig,assets\generated\pig.svg,🐖
Pilot,assets\generated\pilot.svg,✈️
Pineapple,assets\generated\pineapple.svg,🍍
Pink,assets\generated\pink.svg,🩷
Pizza,assets\generated\pizza.svg,🍕
Plane,assets\generated\plane.svg,✈️
Plant,assets\generated\plant.svg,🌱
Plum,assets\generated\plum.svg,🔵
Plumber,assets\generated\plumber.svg,🔧
Pomegranate,assets\generated\pomegranate.svg,🟥
Pond,assets\generated\pond.svg,🪷
Pongal,assets\generated\pongal.svg,🌾
Popcorn,assets\generated\popcorn.svg,🍿
Post Office,assets\generated\post-office.svg,📮
Potato,assets\generated\potato.svg,🥔
Puddle,assets\generated\puddle.svg,💧
Pumpkin,assets\generated\pumpkin.svg,🎃
Purple,assets\generated\purple.svg,🟣
Quail,assets\generated\quail.svg,🐦
Queen,assets\generated\queen.svg,👑
Quesadilla,assets\generated\quesadilla.svg,🥙
Quince,assets\generated\quince.svg,🍐
Quokka,assets\generated\quokka.svg,🐹
Rabbit,assets\generated\rabbit.svg,🐇
Radish,assets\generated\radish.svg,🔴
Rain,assets\generated\rain.svg,🌧️
Rainbow,assets\generated\rainbow.svg,🌈
Raksha Bandhan,assets\generated\raksha-bandhan.svg,🧵
Ramadan,assets\generated\ramadan.svg,🌙
Raspberry,assets\generated\raspberry.svg,🔴
Rat,assets\generated\rat.svg,🐀
Rectangle,assets\generated\rectangle.svg,▭
Red,assets\generated\red.svg,🔴
Restaurant,assets\generated\restaurant.svg,🍽️
Rhino,assets\generated\rhino.svg,🦏
Rice,assets\generated\rice.svg,🍚
Rickshaw,assets\generated\rickshaw.svg,🛺
Right,assets\generated\right.svg,➡️
River,assets\generated\river.svg,🏞️
Rock,assets\generated\rock.svg,🪨
Rocket,assets\generated\rocket.svg,🚀
Rooster,assets\generated\rooster.svg,🐓
Roti,assets\generated\roti.svg,🫓
Salad,assets\generated\salad.svg,🥗
Salon,assets\generated\salon.svg,💇
Samosa,assets\generated\samosa.svg,🔺
Sand,assets\generated\sand.svg,🏖️
Sandwich,assets\generated\sandwich.svg,🥪
Scientist,assets\generated\scientist.svg,🧑‍🔬
Scooter,assets\generated\scooter.svg,🛵
Sheep,assets\generated\sheep.svg,🐑
Ship,assets\generated\ship.svg,🚢
Shoulder,assets\generated\shoulder.svg,💪
Sideways,assets\generated\sideways.svg,↔️
Sikhism,assets\generated\sikhism.svg,☬
Silver,assets\generated\silver.svg,⚪
Singer,assets\generated\singer.svg,🎤
Sister,assets\generated\sister.svg,👧
Skateboard,assets\generated\skateboard.svg,🛹
Sky,assets\generated\sky.svg,🌤️
Sled,assets\generated\sled.svg,🛷
Smoothie,assets\generated\smoothie.svg,🥤
Snail,assets\generated\snail.svg,🐌
Snake,assets\generated\snake.svg,🐍
Snow,assets\generated\snow.svg,❄️
Soldier,assets\generated\soldier.svg,🪖
Son,assets\generated\son.svg,👦
Soup,assets\generated\soup.svg,🍲
South,assets\generated\south.svg,⬇️
Sphere,assets\generated\sphere.svg,🌐
Spinach,assets\generated\spinach.svg,🟩
Square,assets\generated\square.svg,🟦
Squash,assets\generated\squash.svg,🟠
Squirrel,assets\generated\squirrel.svg,🐿️
Star,assets\generated\star.svg,⭐
Stepmother,assets\generated\stepmother.svg,👩
Stomach,assets\generated\stomach.svg,🫃
Stone,assets\generated\stone.svg,🪨
Storm,assets\generated\storm.svg,⛈️
Strawberry,assets\generated\strawberry.svg,🍓
Submarine,assets\generated\submarine.svg,🚤
Sun,assets\generated\sun.svg,☀️
Supermarket,assets\generated\supermarket.svg,🛒
Swan,assets\generated\swan.svg,🦢
Sweet Potato,assets\generated\sweet-potato.svg,🍠
Tacos,assets\generated\tacos.svg,🌮
Tailor,assets\generated\tailor.svg,🧵
Tangerine,assets\generated\tangerine.svg,🔶
Taxi,assets\generated\taxi.svg,🚕
Teacher,assets\generated\teacher.svg,👩‍🏫
Teal,assets\generated\teal.svg,🩵
Thanksgiving,assets\generated\thanksgiving.svg,🦃
Through,assets\generated\through.svg,➡️
Thumb,assets\generated\thumb.svg,👍
Thunder,assets\generated\thunder.svg,⚡
Tiger,assets\generated\tiger.svg,🐅
Toast,assets\generated\toast.svg,🍞
Toe,assets\generated\toe.svg,🦶
Tomato,assets\generated\tomato.svg,🍅
Tongue,assets\generated\tongue.svg,👅
Tooth,assets\generated\tooth.svg,🦷
Top,assets\generated\top.svg,⬆️
Toy Store,assets\generated\toy-store.svg,🧸
Tractor,assets\generated\tractor.svg,🚜
Train,assets\generated\train.svg,🚂
Tram,assets\generated\tram.svg,🚋
Tree,assets\generated\tree.svg,🌳
Triangle,assets\generated\triangle.svg,🔺
Truck,assets\generated\truck.svg,🚚
Turkey,assets\generated\turkey.svg,🦃
Turnip,assets\generated\turnip.svg,🟣
Turquoise,assets\generated\turquoise.svg,🔵
Turtle,assets\generated\turtle.svg,🐢
Ugli Fruit,assets\generated\ugli-fruit.svg,💚
Umbrella,assets\generated\umbrella.svg,☂️
Uncle,assets\generated\uncle.svg,👨
Under,assets\generated\under.svg,⬇️
Unicorn,assets\generated\unicorn.svg,🦄
Up,assets\generated\up.svg,⬆️
Upma,assets\generated\upma.svg,⚪
Vada,assets\generated\vada.svg,⭕
Valley,assets\generated\valley.svg,🏞️
Van,assets\generated\van.svg,🚐
Vegetable Soup,assets\generated\vegetable-soup.svg,🟢
Vet,assets\generated\vet.svg,👩‍⚕️
Violet,assets\generated\violet.svg,🟣
Volcano,assets\generated\volcano.svg,🌋
Vulture,assets\generated\vulture.svg,🐦‍⬛
Waffle,assets\generated\waffle.svg,🧇
Wagon,assets\generated\wagon.svg,🛒
Waist,assets\generated\waist.svg,🧍
Waiter,assets\generated\waiter.svg,🧑‍🍽️
Walrus,assets\generated\walrus.svg,🦭
Water,assets\generated\water.svg,💧
Waterfall,assets\generated\waterfall.svg,💦
Watermelon,assets\generated\watermelon.svg,🍉
Wave,assets\generated\wave.svg,🌊
West,assets\generated\west.svg,⬅️
Whale,assets\generated\whale.svg,🐋
White,assets\generated\white.svg,⚪
Wife,assets\generated\wife.svg,👰
Wind,assets\generated\wind.svg,💨
Wolf,assets\generated\wolf.svg,🐺
Wrist,assets\generated\wrist.svg,✋
Writer,assets\generated\writer.svg,✍️
X-ray,assets\generated\x-ray.svg,🩻
X-ray Fish,assets\generated\x-ray-fish.svg,🐠
Yacht,assets\generated\yacht.svg,🛥️
Yak,assets\generated\yak.svg,🐃
Yellow,assets\generated\yellow.svg,🟡
Yoga Instructor,assets\generated\yoga-instructor.svg,🧘
Yogurt,assets\generated\yogurt.svg,🍶
Yuzu,assets\generated\yuzu.svg,💛
Zebra,assets\generated\zebra.svg,🦓
Zigzag,assets\generated\zigzag.svg,⚡
Ziti,assets\generated\ziti.svg,🔶
Zoo,assets\generated\zoo.svg,🦁
Zookeeper,assets\generated\zookeeper.svg,🦁
Zoroastrianism,assets\generated\zoroastrianism.svg,🔥
Zucchini,assets\generated\zucchini.svg,💚
colors,assets\generated\colors.svg,shapes
vehicles,assets\generated\vehicles.svg,directions
Éclair,assets\generated\clair.svg,🥐
